DATE,HORAMSA19380
2016-07-01,131.0
2016-08-01,114.0
2016-09-01,130.0
2016-10-01,120.0
2016-11-01,114.0
2016-12-01,91.0
2017-01-01,77.0
2017-02-01,99.0
2017-03-01,107.0
2017-04-01,91.0
2017-05-01,82.0
2017-06-01,81.0
2017-07-01,71.0
2017-08-01,57.0
2017-09-01,68.0
2017-10-01,53.0
2017-11-01,64.0
2017-12-01,52.0
2018-01-01,52.0
2018-02-01,48.0
2018-03-01,52.0
2018-04-01,46.0
2018-05-01,50.0
2018-06-01,61.0
2018-07-01,46.0
2018-08-01,43.0
2018-09-01,38.0
2018-10-01,37.0
2018-11-01,33.0
2018-12-01,32.0
2019-01-01,31.0
2019-02-01,36.0
2019-03-01,22.0
2019-04-01,28.0
2019-05-01,14.0
2019-06-01,15.0
2019-07-01,17.0
2019-08-01,18.0
2019-09-01,17.0
2019-10-01,14.0
2019-11-01,22.0
2019-12-01,16.0
2020-01-01,12.0
2020-02-01,15.0
2020-03-01,17.0
