DATE,HORACOUNTY39113
2016-07-01,470.0
2016-08-01,444.0
2016-09-01,475.0
2016-10-01,408.0
2016-11-01,377.0
2016-12-01,353.0
2017-01-01,343.0
2017-02-01,367.0
2017-03-01,345.0
2017-04-01,342.0
2017-05-01,313.0
2017-06-01,217.0
2017-07-01,249.0
2017-08-01,272.0
2017-09-01,231.0
2017-10-01,182.0
2017-11-01,193.0
2017-12-01,144.0
2018-01-01,175.0
2018-02-01,192.0
2018-03-01,186.0
2018-04-01,114.0
2018-05-01,168.0
2018-06-01,183.0
2018-07-01,109.0
2018-08-01,107.0
2018-09-01,144.0
2018-10-01,139.0
2018-11-01,121.0
2018-12-01,105.0
2019-01-01,80.0
2019-02-01,155.0
2019-03-01,97.0
2019-04-01,83.0
2019-05-01,54.0
2019-06-01,64.0
2019-07-01,65.0
2019-08-01,66.0
2019-09-01,67.0
2019-10-01,91.0
2019-11-01,90.0
2019-12-01,33.0
2020-01-01,27.0
2020-02-01,30.0
2020-03-01,52.0
